Id,OrganizationId,UnitType,ParentHierarchyId,HierarchyName,LocRef,ObjectNumber,HierarchyId
902,10367,RevenueCenter,332,EWR Abruzzo Mercato,,316,902
917,10367,RevenueCenter,332,EWR C1 Holdroom 74,,403,917
922,10367,RevenueCenter,332,EWR C1 Holdroom 90,,408,922
928,10367,RevenueCenter,332,EWR C2 Holdroom 104,,414,928
937,10367,RevenueCenter,332,EWR C3 Holdroom 134,,423,937
952,10367,RevenueCenter,340,PHL B Gate B4,,410,952
1013,10367,Zone,1005,MCO Beverage Menu Staging,,9008,1013
904,10367,RevenueCenter,332,EWR Uptop Pizza C2,,217,904
915,10367,RevenueCenter,332,EWR C1 Holdroom 70,,401,915
918,10367,RevenueCenter,332,EWR C1 Holdroom 80,,404,918
919,10367,RevenueCenter,332,EWR C1 Holdroom 81,,405,919
923,10367,RevenueCenter,332,EWR C1 Holdroom 92,,409,923
931,10367,RevenueCenter,332,EWR C2 Holdroom 109,,417,931
934,10367,RevenueCenter,332,EWR C3 Holdroom 122,,420,934
938,10367,RevenueCenter,332,EWR C3 Holdroom 138,,424,938
939,10367,RevenueCenter,333,IAH Ember Holdroom,,402,939
942,10367,RevenueCenter,333,IAH Q Bar Holdroom,,405,942
947,10367,RevenueCenter,340,PHL B Gate B14,,405,947
950,10367,RevenueCenter,340,PHL B Gate B2,,408,950
951,10367,RevenueCenter,340,PHL B Gate B3,,409,951
953,10367,RevenueCenter,340,PHL B Gate B5,,411,953
956,10367,RevenueCenter,340,PHL B Gate B8,,414,956
958,10367,RevenueCenter,332,EWR World Bean Food Hall C1,,218,958
962,10367,RevenueCenter,882,JFK T5 Nom Wah,,101,962
964,10367,RevenueCenter,882,JFK T5 The Halal Guys,,202,964
971,10367,RevenueCenter,882,JFK T5 Devocion Coffee,,206,971
1012,10367,Zone,1005,LGAMAT Beverage Menu Staging,,9007,1012
42,10367,Enterprise,,OTG Concessions Management LLC,,,42
330,10367,Property,42,DCA,DCA,1,330
331,10367,Property,42,DEN,DEN,2,331
332,10367,Property,42,EWR,EWR,3,332
333,10367,Property,42,IAH,IAH,4,333
334,10367,Property,42,JFK T5,JFKT5,5,334
335,10367,Property,42,LGA C,LGAC,6,335
336,10367,Property,42,LGA MAT,LGAMAT,7,336
337,10367,Property,42,MCO,MCO,8,337
338,10367,Property,42,MSP,MSP,9,338
339,10367,Property,42,ORD,ORD,10,339
340,10367,Property,42,PHL B,PHLB,11,340
341,10367,Property,42,PHL F,PHLF,12,341
342,10367,Property,42,YYZ,YYZ,13,342
343,10367,RevenueCenter,330,DCA District Bar,,101,343
344,10367,RevenueCenter,330,DCA Page,,102,344
345,10367,RevenueCenter,330,DCA Reservoir,,103,345
346,10367,RevenueCenter,330,DCA Cibo Express Pre,,301,346
766,10367,Zone,705,DCA Cibo Express Pre,,301,766
669,10367,Zone,662,DCA Cibo Express Pre,,301,669
347,10367,RevenueCenter,330,DCA CTY,,302,347
767,10367,Zone,705,DCA CTY,,302,767
670,10367,Zone,662,DCA CTY,,302,670
348,10367,RevenueCenter,330,DCA Food Hall DCA,,303,348
768,10367,Zone,705,DCA Food Hall DCA,,303,768
671,10367,Zone,662,DCA Food Hall DCA,,303,671
349,10367,RevenueCenter,331,DEN Sunset Loop,,101,349
350,10367,RevenueCenter,331,DEN Sunset Loop Market,,301,350
769,10367,Zone,740,DEN Sunset Loop Market,,301,769
672,10367,Zone,663,DEN Sunset Loop Market,,301,672
351,10367,RevenueCenter,332,EWR Abruzzo,,101,351
352,10367,RevenueCenter,332,EWR Bar Right,,102,352
353,10367,RevenueCenter,332,EWR Daily,,103,353
354,10367,RevenueCenter,332,EWR Kaedama,,104,354
355,10367,RevenueCenter,332,EWR Little Purse C1,,105,355
356,10367,RevenueCenter,332,EWR Melange,,106,356
357,10367,RevenueCenter,332,EWR Novella,,107,357
358,10367,RevenueCenter,332,EWR Oeno,,108,358
359,10367,RevenueCenter,332,EWR Riviera,,109,359
360,10367,RevenueCenter,332,EWR Surf,,110,360
361,10367,RevenueCenter,332,EWR Vesper Tavern,,111,361
362,10367,RevenueCenter,332,EWR Wanderlust,,112,362
363,10367,RevenueCenter,332,EWR Happy Clam,,113,363
364,10367,RevenueCenter,332,EWR Little Purse C2,,114,364
365,10367,RevenueCenter,332,EWR Proof,,115,365
366,10367,RevenueCenter,332,EWR Vanguard,,116,366
367,10367,RevenueCenter,332,EWR Caps Beer Garden,,117,367
368,10367,RevenueCenter,332,EWR Flora Cafe,,118,368
369,10367,RevenueCenter,332,EWR Forno Magico,,119,369
370,10367,RevenueCenter,332,EWR Nonna's Kitchen,,120,370
371,10367,RevenueCenter,332,EWR Saison,,121,371
372,10367,RevenueCenter,332,EWR Victory Grille,,122,372
373,10367,RevenueCenter,332,EWR Uptop Pizza L1,,123,373
770,10367,Zone,758,EWR Uptop Pizza L1,,123,770
673,10367,Zone,664,EWR Uptop Pizza L1,,123,673
374,10367,RevenueCenter,332,EWR Shake Shack,,201,374
771,10367,Zone,758,EWR Shake Shack,,201,771
674,10367,Zone,664,EWR Shake Shack,,201,674
375,10367,RevenueCenter,332,EWR Cascianos,,202,375
772,10367,Zone,758,EWR Cascianos,,202,772
675,10367,Zone,664,EWR Cascianos,,202,675
376,10367,RevenueCenter,332,EWR Custom Burgers C1,,203,376
773,10367,Zone,758,EWR Custom Burgers C1,,203,773
676,10367,Zone,664,EWR Custom Burgers C1,,203,676
377,10367,RevenueCenter,332,EWR Melange Bakery,,204,377
774,10367,Zone,758,EWR Melange Bakery,,204,774
677,10367,Zone,664,EWR Melange Bakery,,204,677
378,10367,RevenueCenter,332,EWR Notorious P.I.G.,,205,378
775,10367,Zone,758,EWR Notorious P.I.G.,,205,775
678,10367,Zone,664,EWR Notorious P.I.G.,,205,678
379,10367,RevenueCenter,332,EWR Philly Cheesesteaks C1,,206,379
776,10367,Zone,758,EWR Philly Cheesesteaks C1,,206,776
679,10367,Zone,664,EWR Philly Cheesesteaks C1,,206,679
380,10367,RevenueCenter,332,EWR The Panini Shop,,207,380
777,10367,Zone,758,EWR The Panini Shop,,207,777
680,10367,Zone,664,EWR The Panini Shop,,207,680
381,10367,RevenueCenter,332,EWR Uptop Pizza C1,,208,381
778,10367,Zone,758,EWR Uptop Pizza C1,,208,778
681,10367,Zone,664,EWR Uptop Pizza C1,,208,681
382,10367,RevenueCenter,332,EWR Uptop Pizza C1 93,,209,382
779,10367,Zone,758,EWR Uptop Pizza C1 93,,209,779
682,10367,Zone,664,EWR Uptop Pizza C1 93,,209,682
383,10367,RevenueCenter,332,EWR Wabi Sabi C1,,210,383
780,10367,Zone,758,EWR Wabi Sabi C1,,210,780
683,10367,Zone,664,EWR Wabi Sabi C1,,210,683
384,10367,RevenueCenter,332,EWR Custom Burgers C3,,211,384
781,10367,Zone,758,EWR Custom Burgers C3,,211,781
684,10367,Zone,664,EWR Custom Burgers C3,,211,684
385,10367,RevenueCenter,332,EWR Philly Cheesesteaks C3,,212,385
782,10367,Zone,758,EWR Philly Cheesesteaks C3,,212,782
685,10367,Zone,664,EWR Philly Cheesesteaks C3,,212,685
386,10367,RevenueCenter,332,EWR Tagliare C3,,213,386
783,10367,Zone,758,EWR Tagliare C3,,213,783
686,10367,Zone,664,EWR Tagliare C3,,213,686
687,10367,Zone,664,EWR The Deli,,214,687
387,10367,RevenueCenter,332,EWR The Deli,,214,387
784,10367,Zone,758,EWR The Deli,,214,784
688,10367,Zone,664,EWR Wabi Sabi C3,,215,688
388,10367,RevenueCenter,332,EWR Wabi Sabi C3,,215,388
785,10367,Zone,758,EWR Wabi Sabi C3,,215,785
689,10367,Zone,664,EWR World Bean Food Hall C3,,216,689
389,10367,RevenueCenter,332,EWR World Bean Food Hall C3,,216,389
786,10367,Zone,758,EWR World Bean Food Hall C3,,216,786
690,10367,Zone,664,EWR Cibo Express Atrium West,,301,690
390,10367,RevenueCenter,332,EWR Cibo Express Atrium West,,301,390
787,10367,Zone,758,EWR Cibo Express Atrium West,,301,787
691,10367,Zone,664,EWR C1 Global Bazaar,,302,691
391,10367,RevenueCenter,332,EWR C1 Global Bazaar,,302,391
788,10367,Zone,758,EWR C1 Global Bazaar,,302,788
692,10367,Zone,664,EWR Cibo Express 74,,303,692
392,10367,RevenueCenter,332,EWR Cibo Express 74,,303,392
789,10367,Zone,758,EWR Cibo Express 74,,303,789
693,10367,Zone,664,EWR Cibo Express 75,,304,693
393,10367,RevenueCenter,332,EWR Cibo Express 75,,304,393
790,10367,Zone,758,EWR Cibo Express 75,,304,790
694,10367,Zone,664,EWR Cibo Express 90,,305,694
394,10367,RevenueCenter,332,EWR Cibo Express 90,,305,394
791,10367,Zone,758,EWR Cibo Express 90,,305,791
695,10367,Zone,664,EWR Cibo Express 93,,306,695
395,10367,RevenueCenter,332,EWR Cibo Express 93,,306,395
792,10367,Zone,758,EWR Cibo Express 93,,306,792
696,10367,Zone,664,EWR Surf Market,,307,696
396,10367,RevenueCenter,332,EWR Surf Market,,307,396
793,10367,Zone,758,EWR Surf Market,,307,793
