Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26885,Add Carnitas,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90058,,1,448,1,16460,,,,,,,,,RC004964,,,,,,,,,,,
26886,Add Steak,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90058,,1,448,1,16462,,,,,,,,,RC000394,,,,,,,,,,,
26887,Add Short Ribs (),,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90058,,1,448,1,16401,,,,,,,,,RC005942,,,,,,,,,,,
26888,CG 60 *MIGAS MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16463,,,,,,,,,,,,,,,,,,,,
26889,No Cheese,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90060,,1,448,1,16464,,,,,,,,,RC000005,,,,,,,,,,,
26890,No Pico de Gallo,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90060,,1,448,1,16482,,,,,,,,,RC001243,,,,,,,,,,,
26891,No Chips ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90060,,1,448,1,16483,,,,,,,,,RC002095,,,,,,,,,,,
26892,No Cilantro,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90060,,1,448,1,16465,,,,,,,,,RC005526,,,,,,,,,,,
26893,CG 61 *QUESO COMPLETEO MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16470,,,,,,,,,,,,,,,,,,,,
26894,No Sour Cream,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90061,,1,448,1,16486,,,,,,,,,RC001512,,,,,,,,,,,
