Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
5893,82233,1,"00000000	",,,,**OPEN ITEMS for TEMP**,10000,42,,,,,,
5894,82235,1,"00000000	",1000,10001,,FOOD,10001,42,,,,,,
5895,82237,1,"00000000	",3000,30005,,NON ALCOHOLIC,10002,42,,,,,,
5896,82239,1,"00000000	",1500,15001,,LIQUOR,10003,42,,,,,,
5897,82241,1,"00000000	",2000,20001,,BEER,10004,42,,,,,,
5898,82243,1,"00000000	",2500,25002,,WINE,10005,42,,,,,,
5899,82245,1,"00000000	",1000,10001,,**DISCOUNTS**,10500,42,,,,,,
5900,82247,1,"00000000	",1000,10001,,AIRPORT DISCOUNT,10501,42,,,,,,
5901,82249,1,"00000000	",1000,10001,,CREW MEAL,10502,42,,,,,,
5902,82251,1,"00000000	",1000,10001,,MANAGER MEAL,10503,42,,,,,,
14282,132995,1,"00000000	",1000,10001,,CHASE 20% DISCOUNT,10511,42,,,,,,
4309,78205,0,"00000000	",,,,**BEGIN DCA DISTRICT BAR**,11010000,42,,,,,,
4310,78207,0,"00000000	",1000,10015,,DCA Breakfast*,11010001,42,,,,,,
4311,78209,0,"00000000	",1000,10015,,"Ham, Swiss Cheese & Egg",11010002,42,,,,,,
4312,78211,0,"00000000	",1000,10015,,B.E.L.T.,11010003,42,,,,,,
4313,78213,0,"00000000	",1000,10015,,Jersey Bagel,11010004,42,,,,,,
4314,78215,0,"00000000	",1000,10015,,Yogurt Parfait,11010005,42,,,,,,
4315,78217,0,"00000000	",1000,10015,,Build Your Own Omelette,11010006,42,,,,,,
4316,78219,0,"00000000	",1000,10015,,Breakfast Burrito,11010007,42,,,,,,
4317,78221,0,"00000000	",1000,10015,,Bagel & Cream Cheese,11010008,42,,,,,,
4318,78223,0,"00000000	",1000,10015,,BLT,11010009,42,,,,,,
4319,78225,0,"00000000	",1000,10015,,BEC,11010010,42,,,,,,
4320,78227,0,"00000000	",1000,10015,,SEC,11010011,42,,,,,,
4321,78229,0,"00000000	",1000,10009,,Kids Fruit & Yogurt,11010012,42,,,,,,
4322,78231,0,"00000000	",1000,10009,,Kids Egg Breakfast,11010013,42,,,,,,
4323,78233,0,"00000000	",1000,10001,,Ahi Poke Bowl*,11010014,42,,,,,,
4324,78235,0,"00000000	",1000,10001,,Cheese Plate,11010015,42,,,,,,
4325,78237,0,"00000000	",1000,10001,,Buffalo Wings,11010016,42,,,,,,
4326,78239,0,"00000000	",1000,10001,,Chicken Tenders,11010017,42,,,,,,
4327,78241,0,"00000000	",1000,10014,,DC Hippie Chick,11010018,42,,,,,,
4328,78243,0,"00000000	",1000,10014,,Blackened Shrimp Salad,11010019,42,,,,,,
4329,78245,0,"00000000	",1000,10014,,Asian Chicken Salad,11010020,42,,,,,,
4330,78247,0,"00000000	",1000,10014,,Bowtie Chicken Salad,11010021,42,,,,,,
4331,78249,0,"00000000	",1000,10011,,Cauliflower Wrap,11010022,42,,,,,,
4332,78251,0,"00000000	",1000,10011,,Crab Cake Sandwich,11010023,42,,,,,,
4333,78253,0,"00000000	",1000,10011,,Somewhat Cuban Sandwich,11010024,42,,,,,,
4334,78255,0,"00000000	",1000,10011,,Grilled Chicken Sandwich,11010025,42,,,,,,
4335,78257,0,"00000000	",1000,10011,,Turkey & Avocado Wrap,11010026,42,,,,,,
4336,78259,0,"00000000	",1000,10011,,Miriam's BLT,11010027,42,,,,,,
4337,78261,0,"00000000	",1000,10012,,Bacon,11010028,42,,,,,,
4338,78263,0,"00000000	",1000,10012,,Fruit Cup,11010029,42,,,,,,
4339,78265,0,"00000000	",1000,10004,,Peanut Butter Pie,11010030,42,,,,,,
4340,78267,0,"00000000	",1000,10004,,Nilla Wafer & Banana Pudding,11010031,42,,,,,,
4341,78269,0,"00000000	",1000,10015,,Chicken Sausage,11010032,42,,,,,,
11649,115475,0,"00000000	",1000,10015,,Breakfast Potatoes,11010033,42,,,,,,
